process_id,rows,start_time,end_time,duration_seconds,temp_min,temp_avg,temp_max,pressure_min,pressure_avg,pressure_max,flow_min,flow_avg,flow_max,total_volume_max,phases
1,492,2025-11-12 14:29:16.169884407+00:00,2025-11-12 14:42:00.551976692+00:00,764.382092,71.7,79.6989837398374,88.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Heating
4,168,2026-01-23 13:07:56.054557284+00:00,2026-01-23 13:11:18.238235275+00:00,202.183677,79.5,86.26904761904761,90.7,1.45,4.9246428571428575,14.88,0.0,30.595714285714287,1316.88,902.35,Brewing
5,158,2026-01-23 13:17:01.587652348+00:00,2026-01-23 13:20:12.140842660+00:00,190.55319,83.3,87.24810126582278,90.5,2.25,5.694493670886075,13.67,0.0,29.57468354430379,934.56,1102.36,Brewing
6,136,2026-01-23 13:33:24.937394262+00:00,2026-01-23 13:36:21.845501249+00:00,176.908106,79.2,85.81838235294117,93.7,1.21,4.250588235294117,12.96,0.0,81.99264705882354,5862.24,1411.04,Brewing
7,4031,2026-01-23 13:36:46.531677623+00:00,2026-01-23 14:51:06.699250465+00:00,4460.167572,49.5,69.75646241627389,124.3,0.44,1.2588786901513271,7.6,0.0,3.0034234681220537,488.52,1612.82,Brewing
19,136,2026-01-24 19:21:06.433144934+00:00,2026-01-24 19:23:57.808091387+00:00,171.374946,76.9,84.02941176470588,90.3,0.44,6.593455882352941,13.98,0.0,53.5685294117647,1040.76,1009.25,Brewing
20,154,2026-01-24 19:30:31.921564393+00:00,2026-01-24 19:33:43.501221057+00:00,191.579656,83.6,87.35000000000001,90.7,1.35,4.567922077922078,13.79,0.0,27.584415584415584,1359.36,1135.99,Brewing
23,196,2026-01-25 20:23:31.842520888+00:00,2026-01-25 20:27:01.086614893+00:00,209.244094,76.0,85.33571428571429,90.5,1.76,6.698571428571429,14.99,0.0,54.94224489795919,743.4,1090.32,Brewing
26,136,2026-01-25 20:48:32.886877290+00:00,2026-01-25 20:51:19.007190320+00:00,166.120313,83.0,86.35441176470589,90.2,2.15,5.296176470588236,13.71,0.0,25.61294117647059,573.48,90.27,Brewing
29,380,2026-01-26 19:38:36.188647015+00:00,2026-01-26 19:45:22.849540254+00:00,406.660893,82.3,97.77921052631577,110.3,0.44,3.0431315789473685,4.71,0.0,30.742105263157896,615.96,935.62,Brewing
30,148,2026-01-26 19:45:23.922709568+00:00,2026-01-26 19:48:42.403963154+00:00,198.481253,84.2,87.77432432432431,90.5,1.25,4.156148648648648,13.38,0.0,20.80945945945946,1104.48,1043.24,Brewing
31,142,2026-01-26 19:50:14.801244413+00:00,2026-01-26 19:53:20.488910136+00:00,185.687665,83.4,87.32957746478873,90.5,1.43,4.84274647887324,13.69,0.0,83.16507042253521,9558.0,1536.01,Brewing
32,121,2026-01-26 19:54:07.712560201+00:00,2026-01-26 19:56:58.249955580+00:00,170.537395,85.6,87.67768595041322,90.6,1.08,3.967272727272727,13.14,0.0,23.52198347107438,509.76,1730.0,Brewing
33,147,2026-01-26 19:56:59.322314691+00:00,2026-01-26 20:00:00.365610731+00:00,181.043296,86.0,88.40884353741497,90.5,1.66,3.178027210884354,12.73,0.0,29.76489795918368,722.16,1826.99,Brewing
34,156,2026-01-26 20:00:05.744461895+00:00,2026-01-26 20:03:28.951709181+00:00,203.207247,84.2,87.88333333333333,90.9,1.18,4.035833333333333,13.35,0.0,16.066153846153846,849.6,1917.62,Brewing
36,663,2026-01-28 23:11:48.477024412+00:00,2026-01-28 23:23:47.826999094+00:00,719.349974,81.7,95.90482654600302,120.9,0.38,3.661402714932127,7.95,0.0,69.71076923076923,11915.64,963.94,Brewing
37,132,2026-01-28 23:23:48.910426186+00:00,2026-01-28 23:26:30.223333275+00:00,161.312907,82.1,85.81515151515153,90.0,0.89,4.3966666666666665,14.54,0.0,36.04363636363637,828.36,1082.18,Brewing
38,171,2026-01-28 23:27:26.589902593+00:00,2026-01-28 23:30:42.206647958+00:00,195.616745,80.6,86.60409356725145,90.8,1.16,5.474795321637427,14.9,0.0,41.36210526315789,2548.8,1245.73,Brewing
39,155,2026-01-28 23:32:03.655071058+00:00,2026-01-28 23:35:09.292702762+00:00,185.637631,81.9,86.69032258064516,90.4,1.5,6.0204516129032255,14.51,0.0,18.49935483870968,446.04,1354.4,Brewing
51,219,2026-01-29 23:10:59.738518554+00:00,2026-01-29 23:14:54.156484840+00:00,234.417966,95.2,110.73287671232876,119.8,2.58,5.66648401826484,12.56,0.0,0.0,0.0,153.99,Brewing
54,183,2026-01-31 01:54:33.548803502+00:00,2026-01-31 01:58:24.760809512+00:00,231.212006,94.4,111.84262295081967,119.0,2.15,6.0277595628415295,15.0,0.0,0.0,0.0,266.21,Brewing
64,107,2026-02-03 19:21:15.776431037+00:00,2026-02-03 19:24:07.295165916+00:00,171.518734,82.7,87.09906542056075,95.3,1.5,6.2257943925233645,13.65,0.0,69.87364485981308,5203.8,966.77,Brewing
70,3007,2026-02-04 17:56:48.032296226+00:00,2026-02-04 18:51:10.230006096+00:00,3262.197709,78.9,91.9018290655138,123.2,0.34,2.949670768207516,7.94,0.0,5.255257731958762,5968.44,722.87,Brewing
